"","pcode","Country","name","name_alt","loc_type","loc_subtype","createdate","createby","closedate","updatedate","source","unhcr_assist","status","POINT_X","POINT_Y","adjusted_vars","type"
"1","UGAs003650","Uganda","Opit",NA,"IDP Camp","N/A","1/1/96",NA,NA,"11/1/19","UNHCR",NA,0,32.4748,2.62141,1,"IDP"
"2","ERIs001835","Eritrea","Halay",NA,"IDP Camp","N/A","11/1/00",NA,"2001-01-31T00:00:00Z","11/1/19","UNHCR",NA,0,39.340267,14.916217,0,"IDP"
"3","TCDs002588","Rep. of Chad","Kome",NA,"Refugee Camp","N/A","10/15/03","mapping@unhcr.org","2003-10-15T00:00:00Z","11/1/19","UNHCR",NA,0,16.7167,8.45,0,"Refugee"
"4","GINs000933","Guinea","Handou",NA,"Refugee Camp","N/A","1/1/97",NA,"2001-12-01T00:00:00Z","11/1/19","UNHCR",NA,0,-10.5544,8.3262,1,"Refugee"
"5","UGAs001848","Uganda","Olua 1",NA,"Refugee Settlement","N/A","2/1/98",NA,NA,"11/1/19","UNHCR",NA,1,31.896969,3.302276,0,"Refugee"
"6","PAKs003524","Pakistan","Pir Alizai",NA,"Refugee Settlement","N/A","2/4/08",NA,NA,"11/1/19","UNHCR","Yes",0,66.6976,30.6359,0,"Refugee"
"7","PAKs003525","Pakistan","Posti",NA,"Refugee Settlement","N/A","2/4/08",NA,NA,"11/1/19","UNHCR","Yes",1,64.278532,29.248081,0,"Refugee"
"8","PAKs003526","Pakistan","Saranan",NA,"Refugee Settlement","N/A","2/4/08",NA,NA,"11/1/19","UNHCR","Yes",1,66.904866,30.535607,0,"Refugee"
"9","PAKs003527","Pakistan","Surkhab",NA,"Refugee Settlement","N/A","2/4/08",NA,NA,"11/1/19","UNHCR","Yes",1,67.088408,30.584363,0,"Refugee"
"10","PAKs003528","Pakistan","Zar Karez",NA,"Refugee Settlement","N/A","2/4/08",NA,NA,"11/1/19","UNHCR","Yes",1,68.433779,30.453032,0,"Refugee"
"11","GABs002353","Gabon","L'bamba",NA,"Refugee Settlement","N/A","11/1/02",NA,NA,"11/1/19","UNHCR","Yes",0,11.50569,-2.198793,0,"Refugee"
"12","AZEs002200","Azerbaijan","Garanuru",NA,"IDP Camp","N/A","9/7/02",NA,NA,"11/1/19","UNHCR","Yes",0,48.525,39.908889,0,"IDP"
"13","ERIs000147","Eritrea","Elit",NA,"Refugee Camp","N/A","1/13/00",NA,NA,"11/1/19","UNHCR","Yes",0,37.023334,15.216946,0,"Refugee"
"14","AZEs002205","Azerbaijan","Galagayin",NA,"IDP Camp","N/A","4/20/06",NA,NA,"11/1/19","UNHCR","Yes",0,48.481389,39.979722,0,"IDP"
"15","KENs004588","Kenya","Ifo 2W",NA,"Refugee Camp","N/A","1/1/12",NA,"2018-12-31T00:00:00Z","11/1/19","UNHCR","Yes",0,40.30717948,0.14766702,0,"Refugee"
"16","PAKs003451","Pakistan","Dabara",NA,"Refugee Settlement","N/A","2/4/08",NA,NA,"11/1/19","UNHCR","Yes",1,70.2382,32.1488,0,"Refugee"
"17","TURs004236","Turkey","Yayladagi",NA,"Refugee Camp","N/A","1/1/11","orand@unhcr.org",NA,"11/1/19","UNHCR","Yes",1,36.054857,35.906932,1,"Refugee"
"18","NAMs001250","Namibia","Osire",NA,"Refugee Settlement","N/A","1/1/92",NA,NA,"11/1/19","UNHCR",NA,1,17.365,-21.07,0,"Refugee"
"19","ZWEs002069","Zimbabwe","Tongogara",NA,"Refugee Camp","N/A","1/1/98",NA,NA,"11/1/19","UNHCR","Yes",1,32.357383,-20.261911,0,"Refugee"
"20","MOZs002392","Mozambique","Marratane",NA,"Refugee Camp","N/A","11/1/02",NA,NA,"11/1/19","UNHCR","Yes",1,39.25003899,-15.25497926,0,"Refugee"
"21","AFGs003082","Afghanistan","Maiwand",NA,"IDP Settlement","N/A","11/1/06",NA,"2006-11-01T00:00:00Z","11/1/19","UNHCR",NA,0,64.9005,31.5025,0,"IDP"
"22","AFGs003081","Afghanistan","Panjwayi",NA,"IDP Settlement","N/A","11/1/06",NA,"2006-11-01T00:00:00Z","11/1/19","UNHCR",NA,0,65.1725,31.1499,0,"IDP"
"23","YEMs003893","Yemen","Sam",NA,"IDP Camp","N/A","9/23/09",NA,NA,"11/1/19","UNHCR",NA,0,43.72972236,16.91777783,0,"IDP"
"24","YEMs003892","Yemen","Al Ehsa",NA,"IDP Camp","N/A","9/23/09",NA,NA,"11/1/19","UNHCR",NA,0,43.76055564,16.9475,0,"IDP"
"25","AFGs003897","Afghanistan","Badam Baght",NA,"IDP Settlement","N/A","10/29/09",NA,"2009-10-29T00:00:00Z","11/1/19","UNHCR",NA,0,69.93383,33.35295,0,"IDP"
"26","YEMs004082","Yemen","Mandaba camp",NA,"IDP Camp","N/A","9/23/09","orand@unhcr.org","2013-10-16T00:00:00Z","11/1/19","UNHCR",NA,0,43.45017372,17.47241157,0,"IDP"
"27","CIVs005103","Côte d'Ivoire","Satd1",NA,"IDP Camp","N/A","6/30/11","legoupil@unhcr.org",NA,"11/1/19","UNHCR",NA,0,-8.15144,7.26132,0,"IDP"
"28","CAFs000091","Central African Republic","Mboki",NA,"Refugee Settlement","N/A","1/1/90",NA,NA,"11/1/19","UNHCR",NA,0,25.9519,5.30556,0,"Refugee"
"29","SSDs004122","South Sudan","Nyeel",NA,"Refugee Camp","N/A","1/19/12","orand@unhcr.org","2013-10-09T00:00:00Z","11/1/19","UNHCR",NA,0,29.88039816,9.68667797,0,"Refugee"
"30","AFGs003909","Afghanistan","Wacha Khawa",NA,"IDP Settlement","N/A","10/29/09",NA,"2009-10-29T00:00:00Z","11/1/19","UNHCR",NA,0,69.96495,33.32426,0,"IDP"
"31","AFGs003076","Afghanistan","Maslakh",NA,"IDP Settlement","N/A","11/1/06",NA,"2006-11-01T00:00:00Z","11/1/19","UNHCR",NA,0,61.9732,34.4351,0,"IDP"
"32","AFGs003077","Afghanistan","Mukhtar",NA,"IDP Settlement","N/A","11/10/04",NA,"2004-11-10T00:00:00Z","11/1/19","UNHCR",NA,0,64.5882,31.7965,0,"IDP"
"33","AFGs003901","Afghanistan","Kaga Zawar",NA,"IDP Settlement","N/A","10/29/09",NA,"2009-10-29T00:00:00Z","11/1/19","UNHCR",NA,0,70.06158,33.29557,0,"IDP"
"34","MMRs004481","Myanmar","Kyun Taw Bapt. Ch.",NA,"IDP Camp","N/A","1/1/13","orand@unhcr.org",NA,"11/1/19","MMR001CMP078",NA,1,96.92262,25.30567,0,"IDP"
"35","MMRs004497","Myanmar","Nawng Hee Vill.",NA,"IDP Camp","N/A","1/1/13","orand@unhcr.org",NA,"11/1/19","MMR001CMP033",NA,1,97.34500008,25.352,0,"IDP"
"36","MMRs004516","Myanmar","Kyun Pin Thar Bapt.Ch.",NA,"IDP Camp","N/A","1/1/13","orand@unhcr.org",NA,"11/1/19","MMR001CMP013",NA,1,97.40520278,25.36600361,0,"IDP"
"37","MMRs004517","Myanmar","Hkat Cho",NA,"IDP Camp","N/A","1/1/13","orand@unhcr.org",NA,"11/1/19","MMR001CMP028",NA,1,97.40419593,25.32171074,0,"IDP"
"38","MMRs004518","Myanmar","Le Kone Ziun Bapt.Ch.",NA,"IDP Camp","N/A","1/1/13","orand@unhcr.org",NA,"11/1/19","MMR001CMP014",NA,1,97.40340231,25.35101679,0,"IDP"
"39","MMRs004523","Myanmar","Shwe Set Bapt. C.",NA,"IDP Camp","N/A","1/1/13","orand@unhcr.org",NA,"11/1/19","MMR001CMP009",NA,1,97.41939984,25.44089995,0,"IDP"
"40","MMRs004527","Myanmar","Qtr. 4 Monestry",NA,"IDP Camp","N/A","1/1/13","orand@unhcr.org","2013-10-16T00:00:00Z","11/1/19",NA,NA,0,97.432495,25.350809,0,"IDP"
"41","MMRs004529","Myanmar","Maina KBC (Bawng Ring)",NA,"IDP Camp","N/A","1/1/13","orand@unhcr.org",NA,"11/1/19","MMR001CMP040",NA,1,97.43485587,25.41180058,0,"IDP"
"42","MMRs004530","Myanmar","Qtr. 3 Mu-yin Bapt. C.",NA,"IDP Camp","N/A","1/1/13","orand@unhcr.org",NA,"11/1/19","MMR001CMP030",NA,1,97.43747267,25.34591817,0,"IDP"
"43","MMRs004533","Myanmar","Qtr. 2 Myoma Bapt. C.",NA,"IDP Camp","N/A","1/1/13","orand@unhcr.org",NA,"11/1/19","MMR001CMP025",NA,1,97.43843238,25.351725,0,"IDP"
"44","MMRs004536","Myanmar","Mading Bapt. Ch.",NA,"IDP Camp","N/A","1/1/13","orand@unhcr.org",NA,"11/1/19","MMR001CMP027",NA,1,97.451965,25.356632,0,"IDP"
